word,n
securityin,2
fifth,5
edition,7
contentschapter,2
background,46
ordinary,49
history,47
simplicity,21
layered,17
kernelized,3
completeness,13
evades,3
operates,21
unchecked,13
sony,18
xcp,16
tdss,12
rootkits,32
conclusion,47
exercises,42
layers,35
addressing,41
eavesdropping,13
wiretapping,16
fabrication,10
corruption,22
interruption,9
scanning,26
summary,18
toolbox,50
familiar,32
tokens,44
badges,5
cards,42
affinity,3
gets,28
discount,5
permit,23
buildings,7
passport,7
board,26
airplane,5
foreign,28
possess,5
recognize,45
privileges,43
communicate,36
magnetic,26
stripe,7
embedded,30
chip,15
passive,18
introduce,27
reader,37
senses,4
correspondence,6
adds,28
confidence,25
imply,12
nothing,46
photo,34
contents,44
photos,21
hair,5
style,7
color,16
faces,8
variability,5
interaction,43
transportation,7
strip,2
insert,22
reads,8
balance,38
trip,7
rewrites,2
repository,4
hold,24
initiates,8
radio,38
dis,29
tinction,2
static,22
dynamic,19
remains,22
fixed,46
passports,2
transmitter,5
rfid,35
onsite,3
guard,46
looks,28
picture,42
badge,9
face,30
interested,31
prove,14
somewhere,19
transmit,29
appearance,14
compare,38
worse,48
distance,29
increases,32
possibility,32
forgery,15
tell,43
wearing,4
mask,3
susceptible,8
forged,10
sensor,13
skimming,5
surreptitiously,7
relay,4
automated,22
teller,5
sale,28
readers,46
particularly,27
atm,12
thief,16
attaches,3
slot,3
conform,4
format,29
merchant,24
retain,10
recorded,23
skimmers,4
tiny,9
camera,11
strokes,4
pin,27
keypad,2
col,13
lecting,2
obtains,14
creates,31
dummy,2
visits,6
cash,15
purchases,8
cloned,2
copying,19
speak,12
shoulder,2
overhear,2
authenticator,14
copied,17
overcome,11
essentially,44
generates,22
unpredictable,16
interval,3
minute,12
press,42
button,15
compute,29
challenge,33
matter,38
sees,13
hears,6
valid,49
yours,7
knowing,49
outsider,33
guess,34
gener,8
ate,13
generators,5
son,13
securid,7
lab,5
displayed,22
authenticating,7
distinct,27
virtually,12
series,35
min,5
moment,16
authenticates,14
assigned,32
entering,15
discussion,35
refers,15
coun,10
tries,25
substantially,8
examined,27
bases,11
setting,23
sections,28
enhancing,2
federated,15
confusing,3
overwhelming,9
fingerprint,38
scan,31
oth,5
combination,29
remembering,9
identities,38
challenging,14
concurrently,5
inven,3
tory,6
sales,30
soon,37
grow,14
logging,20
login,50
timed,2
creating,28
updating,8
profiles,9
rightly,4
handle,49
bookkeeping,3
union,25
maintaining,46
maintains,22
profile,25
authenticated,26
sepa,6
deter,24
mine,15
activated,19
cess,7
closely,22
sign,37
depicted,22
umbrella,4
completing,4
passes,31
handler,8
resume,6
succeeded,7
passcode,4
courtesy,5
division,27
corporation,15
reserved,10
difference,35
module,35
replaces,9
authenti,7
cation,20
invoke,21
ule,4
performs,36
interactions,27
behalf,19
multifactor,10
authenticationthe,2
discussed,23
advantages,35
disadvantages,15
away,50
lose,20
stolen,27
peering,3
compensate,7
limitation,21
combining,15
driver,23
license,21
seeing,11
confirm,22
belongs,15
bio,2
metric,5
merchants,16
slip,11
hav,4
slide,8
plate,4
surprisingly,12
authentica,8
presumed,6
assuming,16
inconvenience,7
administrators,45
manage,40
assume,43
higher,43
confi,10
dence,5
studies,21
assumption,7
authentications,4
superior,5
mal,22
usability,33
frustration,3
reduced,27
biometrics,30
participate,13
guarantee,17
achieve,20
solve,20
blocking,18
independent,49
authenticate,33
adams,28
accounting,21
shift,26
monday,6
friday,2
attempt,41
dur,6
workstation,17
offices,18
limiting,17
protects,32
impersonate,9
attempted,10
weekend,5
ning,7
risky,9
workstations,5
legitimately,6
town,9
added,48
analysts,45
train,3
minds,3
qualities,13
distinguish,29
practitioners,9
variety,38
mechanisms,47
ready,30
none,22
perfect,24
strengths,14
combinations,11
dave,18
concannon,2
blog,37
tag,40
ulsterbank,3
banking,23
logon,4
supplies,22
identifi,3
required,46
supply,25
digits,23
below,25
chosen,45
fourth,12
entered,21
passphrase,4
ten,48
char,3
rails,2
difficulties,22
carry,23
thereby,40
reducing,23
imperfect,6
foolproof,3
laying,3
finger,17
glass,6
underneath,5
lies,5
uncertainty,16
ambiguity,4
nevertheless,36
requiring,24
draw,15
pick,23
achieves,6
discuss,39
tables,31
flexible,11
allowing,41
robust,11
efficient,27
paradigm,12
articulated,4
scott,14
graham,4
peter,8
denning,16
gra,4
permitted,13
represented,13
surrogate,2
strings,27
processors,22
representing,9
repre,4
halting,10
assigning,6
modes,24
delete,32
destroy,27
export,18
import,3
forth,37
gap,3
sider,12
mechanical,7
specified,27
underlying,43
straightforward,19
nuanced,6
decisions,40
formal,42
informal,4
pat,10
sol,5
simplifies,4
establish,43
reflect,21
existing,40
drive,38
trol,8
complementary,6
goals,25
revoke,8
previously,39
intend,6
indefinite,4
further,46
immediately,29
ated,7
aim,4
principle,41
smallest,5
extra,39
useless,17
harmless,9
absolute,6
translates,4
unneces,2
sary,3
guards,22
verify,43
usage,27
yes,37
equally,15
checking,44
appropri,4
opera,15
push,9
pop,31
assured,11
formed,17
implementing,35
administration,16
revisit,5
acquired,14
split,8
fewest,3
occasion,2
defining,16
policies,45
bearing,5
granularity,14
fineness,2
specificity,13
spectrum,8
byte,45
docu,6
spreadsheet,11
photograph,6
excessive,12
cumbersome,4
finer,2
penalty,8
extreme,16
adam,5
alone,30
orchestrate,2
shar,2
midpoint,3
unit,32
trolled,2
smaller,23
units,18
salaries,4
employ,20
ees,3
western,3
blocks,47
acts,34
leaves,14
transaction,32
audit,46
created,43
maintained,25
preserved,10
upgraded,6
showing,30
heavy,10
progress,22
misuses,7
exactly,46
external,21
compromise,33
assailant,7
gained,8
accessed,31
revealed,28
forensic,16
extremely,26
helpful,18
handling,32
builds,9
obviously,30
matters,16
lengthy,3
practical,17
says,50
turned,18
contains,46
detail,46
unspecified,7
listed,30
above,31
explanations,6
catastrophic,20
prohibits,5
cer,11
tainly,3
completely,30
usefulness,10
seek,22
balances,5
harmful,29
inappropriate,15
recognizing,15
competent,6
exposure,42
misbehaving,2
malfunctioning,2
constrain,6
analyzing,19
determining,41
authorizing,5
limits,35
establishing,20
raise,20
lim,6
ited,10
ensures,11
secu,42
jerome,6
saltzer,13
michael,11
schroeder,8
sal,10
tem,38
primitive,18
exercise,24
terminates,2
represent,39
differentiated,2
fine,24
grained,2
row,15
element,42
differentiate,4
appliance,11
allocate,11
designs,13
james,18
anderson,27
committee,28
gave,14
existed,7
millennia,2
medieval,3
rulers,4
heavily,13
gate,10
generals,4
sur,2
rounded,5
kept,29
xi,3
failed,46
countermeasure,47
wired,21
stronger,23
suite,36
massive,29
estonian,13
denied,15
flooding,19
caused,44
exhaustion,5
redirection,5
exploiting,18
disconnection,3
scripted,3
bots,27
botnets,6
autonomous,8
agents,43
protective,15
ii,23
strategic,6
defenses,23
onion,17
ipsec,33
comparison,19
configurations,6
translation,35
nat,5
prevention,43
valuables,3
doors,6
select,50
fairy,4
tale,3
villains,2
locked,7
safe,46
invoked,20
immune,9
tampering,17
construct,13
essential,34
notion,19
plug,7
managed,8
appear,47
repeatedly,15
translate,4
validation,20
binary,22
implications,44
mediation,21
models,35
main,31
tained,2
direc,3
imagine,30
possesses,3
declare,7
lists,49
clearly,43
forge,9
directories,8
owners,25
possessed,4
permitting,11
grant,6
naming,4
arise,26
libraries,18
subprograms,3
accessible,22
entry,42
intention,11
accessing,12
deletion,12
reflected,8
difficulty,46
revocation,7
passed,43
granting,4
implies,29
respond,37
tamperproof,7
verifiable,3
deleting,11
remove,33
everyone,41
consuming,23
accounts,42
propagation,11
exists,25
revoked,4
pseudonyms,8
named,36
entries,24
uniquely,4
origi,4
nal,4
designation,5
notation,10
apparent,34
forgotten,20
transfers,16
greater,39
prog,12
exe,32
biblioghelp,2
txt,10
orw,4
rorw,2
opens,12
sets,20
permissions,9
consistent,17
matrix,22
listing,33
identifying,36
representations,3
