word,n
tenth,3
ian,4
sommerville,21
york,6
san,4
francisco,2
cape,2
town,3
london,5
paris,5
toronto,3
city,13
sydney,2
hong,6
kong,6
serves,37
controlling,43
placing,23
finding,31
analyzing,38
documenting,46
consistently,25
davis,13
explains,27
wishes,15
sufficiently,10
contractors,8
bid,9
offering,5
perhaps,48
organi,17
zation,10
awarded,9
contractor,11
understands,7
validate,45
failing,14
separation,48
descrip,11
distinguish,43
plus,28
ser,30
vices,21
vary,43
precise,27
docu,28
buyer,10
reader,41
distinction,38
mental,50
health,48
informa,42
expanded,26
englewood,3
cliffs,3
nj,6
readers,37
usu,7
ally,17
interested,35
precisely,13
anyone,34
legitimate,12
regulators,17
monthly,5
drugs,11
prescribed,27
clinic,27
month,34
prescribing,7
clinics,13
printing,17
drug,21
prescriptions,3
doses,7
mg,3
restricted,10
authorized,35
listed,40
architects,21
specificationfigure,2
certify,7
acceptability,5
recorded,44
relatives,4
doctors,21
treating,6
nurses,14
coordinate,34
consultations,13
administer,2
treatments,23
receptionists,2
appointments,11
installing,5
ethics,29
cal,27
obtain,21
preserved,5
keeping,41
ahead,24
procurement,45
benefits,45
sidered,10
feasibility,32
tries,19
financially,3
feasible,10
ﬁtraditionalﬂ,2
majority,48
clearly,44
identifiable,7
outcome,29
subsequent,32
contribute,29
concurrently,22
eliciting,13
refine,25
classified,2
react,29
behave,38
opment,50
imposed,31
cut,25
definitions,18
limiting,13
generates,23
constrains,7
expressed,48
natu,3
ral,2
expand,23
covering,10
reflecting,4
receiving,16
treatment,50
lists,50
attend,12
uniquely,18
eight,31
digit,10
employee,19
contrast,28
traditionally,3
decides,29
imprecision,2
disputes,6
interpret,14
uous,2
simplifies,6
wants,45
delays,34
rationale,17
confused,5
appointment,5
attended,7
constrain,12
func,49
tional,42
computations,36
operates,9
missed,16
conflicts,12
looks,32
ideally,44
completeness,42
contradictory,7
ness,36
omissions,49
specifications,39
rea,4
son,7
backgrounds,7
expectations,38
inconsistencies,25
obvious,47
origi,2
nally,16
inconsistent,17
deeper,7
alternatively,49
represen,8
tations,5
unusable,2
certified,12
spe,22
cific,2
formatting,7
imple,48
spread,17
met,46
minimize,39
efficiency,25
securityrequirements,2
limit,47
nonfunctional,39
straints,6
interoperability,18
regulations,28
classification,25
charac,11
teristics,10
runtime,28
fast,31
environmental,48
environ,24
heading,2
covers,32
regulatory,7
approved,47
regulator,19
nuclear,10
authority,28
legislative,2
oper,26
ates,3
law,31
ethical,22
allowed,40
downtime,10
says,18
identifies,18
authenticate,9
moving,39
login,14
identity,27
legislation,7
obviously,35
accordance,7
national,34
pose,11
ease,32
recover,48
intentions,6
interpretation,15
subse,3
quent,5
dispute,2
express,29
minimized,16
requirementthe,2
exceed,9
seconds,25
provisions,5
redundancy,43
diversity,45
tolerant,28
rewritten,7
objectively,11
verify,41
instrumentation,3
count,29
experienced,46
hour,25
quantitatively,10
translate,29
measurable,20
sim,13
ple,41
everyday,20
verifying,16
paying,11
justified,11
conflict,20
identification,37
installed,47
connects,8
tablets,12
smartphones,18
refresh,3
rom,8
unavailability,6
occurrence,46
restart,23
percentage,29
causing,17
corruption,13
dependent,42
equipped,3
circumstances,46
separately,48
highlight,21
putting,12
distin,2
guishing,2
confidentiality,21
bility,17
discovering,31
interacting,26
converting,3
interleaved,19
interleaving,2
devoted,6
spent,43
outer,6
rings,5
accommodates,7
iterations,25
exited,3
elicited,12
prototyping,48
virtually,36
bet,12
ter,16
buying,16
modifications,18
implications,19
aims,14
except,43
articulate,4
unrealistic,18
isn,40
req,3
naturally,15
implicit,21
diverse,44
commonalities,3
political,28
influence,37
economic,32
inevitably,33
emerge,31
originally,46
consulted,5
instantiation,22
expertise,24
discovery,31
unstruc,2
tured,7
organizes,13
coherent,23
clusters,17
prioritization,8
negotiation,46
stake,30
holders,19
prioritizing,2
resolving,5
resolve,22
compromise,33
round,17
draft,7
tained,10
informally,34
whiteboards,5
wikis,8
spaces,4
continual,14
starts,50
ends,21
analyst,27
improves,23
simplify,21
helpful,29
viewpoint,22
viewpoints,18
associate,11
pri,7
conflicting,8
stakehold,14
deliberately,17
undermine,2
regular,30
meetings,43
opportunity,21
compromises,9
lan,16
guage,4
sharing,37
google,26
docs,8
office,25
wiki,20
supplement,13
collecting,26
interviewing,7
talk,33
observation,11
ethnography,16
watch,5
mix,24
discussions,43
interviews,13
puts,6
currently,30
closed,32
predefined,7
agenda,12
explores,4
develops,27
mixture,12
ended,5
cussions,2
interview,12
difficulties,32
talking,24
happy,13
dem,18
onstrate,3
finds,5
specialists,17
jargon,9
impos,7
sible,23
terminology,32
subtle,38
neers,15
misunderstand,6
familiar,32
worth,46
